[INFO] ====================================================================================================
[INFO] ABLATION STUDY METRICS LOG
[INFO] Iterations: 500 independent stress tests per variant (Concurrent Load: 2,000 req/s)
[INFO] ====================================================================================================
Variant,Privacy,Granularity,TPS_Mean,TPS_Std,Latency_Mean_ms,Latency_Std_ms,Gas_Mean
Full_J_Trust,High,Fine-grained,117.3,2.6,22.1,1.3,310250
w_o_ZKP,Low,Fine-grained,121.5,3.1,20.8,1.1,1250000
w_o_HIBE,Medium,Attribute,118.6,2.8,21.7,1.4,310250
w_o_CP_ABE,Medium,Coarse,119.2,2.4,21.3,1.2,280000
w_o_Sidechain,High,Fine-grained,73.4,4.9,58.6,3.7,850000
