[INFO] =================================================================
[INFO] CRYPTOGRAPHIC PRIMITIVE MICRO-BENCHMARK
[INFO] Library: Charm-Crypto (Python 3.8), secp256k1 & SS512 Pairings
[INFO] Iterations: 1000 per primitive (Averaged)
[INFO] =================================================================
Phase,             Centralized,   SingleChain,   JTrust
System Init,       10.5,          25.0,          45.2
User Reg,          5.2,           8.0,           12.5
Deposit Sign,      4.1,           15.0,          18.6
Data Encrypt,      3.5,           2.0,           28.4
Data Decrypt,      3.8,           2.0,           32.1
Cross Chain Sync,  4.5,         85.0,          8.5
